t,x,y,z,speed_mps
9.701333323657000562e+01,-5.373462973586931923e+00,-1.297903246298507440e+01,2.452152194988948253e+01,0.000000000000000000e+00
9.751333323657000562e+01,-5.170018864056703300e+00,-1.037106645001091998e+01,2.407419591390521063e+01,1.057315034782209562e+00
1.000133332365700340e+02,5.026003125916118641e+00,-2.886477243886975685e-02,1.680085145621974618e+01,6.208660733628033945e+00
1.005133332365700483e+02,8.815732052466515256e+00,1.658760747075350039e+00,1.566596582266852522e+01,3.281647340856471029e+00
1.010133332365700483e+02,9.784880797569520894e+00,1.244448152266203422e+00,1.581008782653573697e+01,1.482147205426799674e+00
1.015133332365700625e+02,1.043063243875790569e+01,6.612854605270106489e-01,1.736363629578345424e+01,6.874415129660801371e-01
1.020133332365700625e+02,1.121940597205903778e+01,4.120628926504111833e-01,1.960176215819656065e+01,7.463551156717496138e-01
1.025133332365700767e+02,9.977274166075636330e+00,-8.849705891074906017e-01,2.192644894828285018e+01,8.558672782200413831e-01
1.030133332365700767e+02,1.060086649035204331e+01,-1.270879589013167443e+00,2.460785894284541442e+01,9.872661294999042214e-01
1.035133332365700909e+02,1.219889933971534646e+01,-1.126127332437641959e+00,2.663709586944482766e+01,9.688269405778762167e-01
1.040133332365700909e+02,1.380944577905887805e+01,-4.837679839179890307e-01,2.794420974984720019e+01,8.745336706463391341e-01
1.045133332365701051e+02,1.539630571478430454e+01,-6.688849792694442908e-02,2.837613974448017373e+01,7.241584666757117095e-01
1.050133332365701051e+02,1.647366466451923372e+01,3.542311562883976306e-01,2.809982582289815412e+01,5.332780458946670965e-01
1.055133332365701193e+02,1.672307161036328793e+01,2.019410100752364379e+00,2.778651381170920942e+01,5.312546907719806200e-01
1.060133332365701193e+02,1.563155128461218091e+01,5.404683073460802234e+00,2.754636299541078159e+01,1.001891132004236518e+00
1.065133332365701335e+02,1.401292014109280615e+01,9.248531879929709376e+00,2.713862212316593769e+01,1.391311666985736828e+00
1.070133332365701335e+02,1.260294132833395508e+01,1.264036822763850587e+01,2.623528716545004968e+01,1.458518611385478891e+00
1.075133332365701477e+02,1.110324907680597839e+01,1.536933651213132634e+01,2.533964220740798368e+01,1.358056594210383050e+00
1.080133332365701477e+02,8.921997463364505165e+00,1.810049938660512936e+01,2.495935490885178254e+01,1.375175151559695053e+00
1.085133332365701619e+02,6.272729474845038844e+00,2.132435660654724430e+01,2.488621945603735597e+01,1.543278797521106194e+00
1.090133332365701619e+02,4.145382516590799149e+00,2.404037327028324000e+01,2.478584197759195362e+01,1.446837019987487594e+00
1.095133332365701762e+02,2.208572474324954626e+00,2.640237268980447638e+01,2.478098028449912249e+01,1.313453184743598401e+00
1.100133332365701762e+02,6.100403830553089435e-01,2.834353412387234172e+01,2.471064557078319268e+01,1.131951210324677826e+00
1.105133332365701762e+02,-7.213507651244366325e-01,2.922475031981045035e+01,2.458514696745800521e+01,8.318231442081117644e-01
1.110133332365701904e+02,-1.662245341349439132e+00,2.873318975221666349e+01,2.464251681432012475e+01,4.846992306102548276e-01
1.115133332365701904e+02,-2.380656268972029643e+00,2.724364935510148200e+01,2.458453220302040521e+01,4.734432068613985134e-01
